,task,method,mae,mse,dist_fn,eval_fn,supervision_amt,fold,noise
0,emotion,MAS,16.115714285714287,637.8414285714285,diff/range d,diff/range e,0.0,1,0.0
1,emotion,BAU,16.05,648.6157142857143,diff/range d,diff/range e,0.0,1,0.0
2,emotion,SAD,13.712857142857143,462.4157142857143,diff/range d,diff/range e,0.0,1,0.0
3,emotion,ORACLE,4.6657142857142855,65.36857142857143,diff/range d,diff/range e,0.0,1,0.0
4,emotion,DEM,13.524285714285714,445.8071428571429,diff/range d,diff/range e,0.0,1,0.0
5,emotion,RANDOM,18.194285714285716,842.8571428571429,diff/range d,diff/range e,0.0,1,0.0
6,emotion,MAS_MERGE,15.021586676664182,552.7649197118159,diff/range d,diff/range e,0.0,1,0.0
7,emotion,BAU_MERGE,11.864562243015685,319.1514084908518,diff/range d,diff/range e,0.0,1,0.0
8,emotion,SAD_MERGE,12.17379069600298,366.3346185381348,diff/range d,diff/range e,0.0,1,0.0
9,emotion,DEM_MERGE,12.59188594501827,376.69849388195865,diff/range d,diff/range e,0.0,1,0.0
10,emotion,ORACLE_MERGE,10.491983027100167,250.48385476089283,diff/range d,diff/range e,0.0,1,0.0
11,emotion,UNIFORM_MERGE,12.022,318.09954285714286,diff/range d,diff/range e,0.0,1,0.0
